geneID	control	heat
MAA_00294	145	66
MAA_00295	90	62
MAA_00296	416	891
MAA_00297	378	786
MAA_00298	9	24
MAA_00299	27	192
MAA_00300	252	1244
MAA_00301	49	4
MAA_00302	1201	1187
MAA_00303	68	100
MAA_00304	399	83
MAA_00305	308	155
MAA_00306	8	7
MAA_00307	14	11
MAA_00308	10	14
MAA_00309	5	8
MAA_00310	20	201
MAA_00311	1365	735
MAA_00312	24	26
MAA_00313	146	128
MAA_00314	555	459
MAA_00315	1374	1689
MAA_00316	285	204
MAA_00317	158	157
MAA_00318	14	11
MAA_00319	9	2
MAA_00320	15	9
MAA_00321	3	8
MAA_00322	7	6
MAA_00323	87	12
MAA_00324	1486	137
MAA_00325	13	10
MAA_00326	47	20
MAA_00327	3	5
MAA_00328	12	7
MAA_00329	105	241
MAA_00330	70	190
MAA_00331	558	315
MAA_00332	259	177
MAA_00333	271	240
MAA_00334	69	108
MAA_00335	37	47
MAA_00336	1439	1812
MAA_00337	158	19
MAA_00338	180	104
MAA_00339	49	116
MAA_00340	565	464
MAA_00341	20	73
MAA_00342	28	124
MAA_00343	356	258
MAA_00344	2179	3817
MAA_00345	1585	1505
MAA_00346	4055	2652
MAA_00347	0	0
MAA_00348	14	9
MAA_00349	329	302
MAA_00350	72	120
MAA_00351	3097	2324
MAA_00352	2	1
MAA_00353	49	96
MAA_00354	73	32
MAA_00355	31	1
MAA_00356	0	0
MAA_00357	0	0
MAA_00358	0	0
MAA_00359	0	0
MAA_00360	0	10
MAA_00361	55	87
MAA_00362	32	493
MAA_00363	206	146
MAA_00364	353	495
MAA_00365	801	791
MAA_00366	57	117
MAA_00367	205	1117
MAA_00368	24	23
MAA_00369	41	19
MAA_00370	0	3
MAA_00371	327	132
MAA_00372	2	1
MAA_00373	1	0
MAA_00374	60	42
MAA_00375	2	21
MAA_00376	1	2
MAA_00377	3	2
MAA_00378	20	4
MAA_00379	0	0
MAA_00380	0	7
MAA_00381	0	0
MAA_00382	0	2
MAA_00383	0	0
MAA_00384	53	110
MAA_00385	26	48
MAA_00386	97	81
MAA_00387	50	36
MAA_00388	249	145
MAA_00389	1	1
MAA_00390	40	90
MAA_00391	0	0
MAA_00392	0	0
MAA_00393	0	0
MAA_00394	139	712
MAA_00395	0	1
MAA_00396	0	0
MAA_00397	1	18
MAA_00398	29	21
MAA_00399	4	2
MAA_00400	5	13
MAA_00401	127	89
MAA_00402	62	81
MAA_00403	0	0
MAA_00404	0	0
MAA_00405	1	0
MAA_00406	19	79
MAA_00407	29	57
MAA_00408	64	114
MAA_00409	10	33
MAA_00410	196	255
MAA_00411	18	17
MAA_00412	1437	631
MAA_00413	49	62
MAA_00414	0	1
MAA_00415	5	2
MAA_00416	12	47
MAA_00417	30	39
MAA_00418	201	116
MAA_00419	42	79
MAA_00420	7	13
MAA_00421	119	516
MAA_00422	4	29
MAA_00423	78	20
MAA_00424	0	0
MAA_00425	0	0
MAA_00426	3	6
MAA_00427	0	0
MAA_00428	1	0
MAA_00429	0	0
MAA_00430	0	0
MAA_00431	0	0
MAA_00432	0	0
MAA_00433	2	0
MAA_00434	0	0
MAA_00435	0	0
MAA_00436	1	0
MAA_00437	0	0
MAA_00438	0	0
MAA_00439	0	0
MAA_00440	0	0
MAA_00441	0	0
MAA_00442	0	0
MAA_00443	0	0
MAA_00444	0	0
MAA_00445	0	0
MAA_00446	293	25
MAA_00447	0	0
MAA_00448	0	1
MAA_00449	0	0
MAA_00450	5	0
MAA_00451	2	0
MAA_00452	0	0
MAA_00453	12	4
MAA_00454	34	6
MAA_00455	0	0
MAA_00456	14	26
MAA_00457	309	163
MAA_00458	592	74
MAA_00459	3611	3740
MAA_00460	0	0
MAA_00461	0	0
MAA_00462	1	0
MAA_00463	71	89
MAA_00464	771	652
MAA_00465	377	381
MAA_00466	1	0
MAA_00467	0	0
MAA_00468	3	1
MAA_00469	2	0
MAA_00470	1	0
MAA_00471	0	0
MAA_00472	0	1
MAA_00473	31	0
MAA_00474	5	1
MAA_00475	2	0
MAA_00476	5	1
MAA_00477	2	0
MAA_00478	0	0
MAA_00479	65	36
MAA_00480	29	9
MAA_00481	1096	532
MAA_00482	4	1
MAA_00483	9	2
MAA_00484	2	3
MAA_00485	1	0
MAA_00486	2428	1401
MAA_00487	278	482
MAA_00488	257	315
MAA_00489	2	3
MAA_00490	172	163
MAA_00491	1101	1187
MAA_00492	105	846
MAA_00493	97	110
MAA_00494	18	24
MAA_00495	26	11
MAA_00496	9	39
MAA_00497	72	86
MAA_00498	0	0
MAA_00499	1	0
MAA_00500	0	0
MAA_00501	4	0
MAA_00502	89	199
MAA_00503	13	30
MAA_00505	587	1107
MAA_00506	564	650
MAA_00507	684	574
MAA_00508	60	189
MAA_00509	251	614
MAA_00510	55	388
MAA_00511	1173	741
MAA_00512	7	11
MAA_00513	199	190
MAA_00514	339	221
MAA_00515	1683	1176
MAA_00516	405	436
MAA_00517	328	826
MAA_00518	2559	728
MAA_00519	12	72
MAA_00520	3	14
MAA_00521	29	101
MAA_00522	6	53
MAA_00523	1799	600
MAA_00524	353	374
MAA_00525	132	159
MAA_00526	1609	652
MAA_00527	4	4
MAA_00528	372	402
MAA_00529	5	40
MAA_00530	24	95
MAA_00531	22	43
MAA_00532	62	134
MAA_00533	51	175
MAA_00534	89	259
MAA_00535	7	37
MAA_00536	2	9
MAA_00537	47	419
MAA_00538	230	254
MAA_00539	734	742
MAA_00540	441	1221
MAA_00541	8	30
MAA_00542	27	43
MAA_00543	132	274
MAA_00544	8	28
MAA_00545	75	186
MAA_00546	2596	706
MAA_00547	80	23
MAA_00548	229	170
MAA_00549	61	132
MAA_00550	191	300
MAA_00551	183	1136
MAA_00552	185	383
MAA_00553	730	497
MAA_00554	155	354
MAA_00555	36	42
MAA_00556	162	361
MAA_00557	1224	847
MAA_00558	69	70
MAA_00559	68	124
MAA_00560	1126	915
MAA_00561	156	257
MAA_00562	59	36
MAA_00563	11	60
MAA_00564	21	102
MAA_00565	79	298
MAA_00566	1063	1467
MAA_00567	286	368
MAA_00568	251	422
MAA_00569	737	581
MAA_00570	217	513
MAA_00571	293	306
MAA_00572	74	100
MAA_00573	959	661
MAA_00574	974	586
MAA_00575	620	498
MAA_00576	237	436
MAA_00577	344	1043
MAA_00578	611	528
MAA_00579	3233	2081
MAA_00580	106	259
MAA_00581	114	406
MAA_00582	795	586
MAA_00583	500	289
MAA_00584	202	473
MAA_00585	19	136
MAA_00586	131	111
MAA_00587	873	856
MAA_00589	1738	1895
MAA_00590	155	71
MAA_00591	17	8
MAA_00592	338	527
MAA_00593	81	89
MAA_00594	2850	860
MAA_00596	2190	423
MAA_00597	48	57
MAA_00598	0	0
MAA_00599	33	76
MAA_00600	2909	5757
MAA_00601	25	56
MAA_00602	74	211
MAA_00603	1722	2898
MAA_00604	472	687
MAA_00605	239	464
MAA_00606	1366	284
MAA_00607	613	1142
MAA_00608	1127	690
MAA_00609	43	82
MAA_00610	272	396
MAA_00611	232	301
MAA_00612	14	17
MAA_00613	405	505
MAA_00614	71	115
MAA_00615	80	488
MAA_00616	77	290
MAA_00617	301	1110
MAA_00618	384	655
MAA_00619	22	47
MAA_00620	328	654
MAA_00621	7	30
MAA_00622	31	14
MAA_00623	667	573
MAA_00624	1476	771
MAA_00625	271	303
MAA_00626	0	1
MAA_00627	38	118
MAA_00628	6	21
MAA_00629	3	6
MAA_00630	2	6
MAA_00631	53	192
MAA_00632	90	54
MAA_00633	9	43
MAA_00634	5	101
MAA_00635	39	185
MAA_00636	0	4
MAA_00637	0	0
MAA_00638	1	1
MAA_00639	74	33
MAA_00640	32	61
MAA_00641	34	120
MAA_00642	80	182
MAA_00643	2	1
MAA_00644	1517	938
MAA_00645	3839	1237
MAA_00646	53	106
MAA_00647	362	460
MAA_00648	390	325
MAA_00649	524	594
MAA_00650	507	787
MAA_00651	199	452
MAA_00652	133	202
MAA_00653	25	19
MAA_00654	301	1030
MAA_00655	61	56
MAA_00656	23563	5931
MAA_00657	0	0
MAA_00658	5603	4401
MAA_00659	4	0
MAA_00660	143	224
MAA_00661	19	23
MAA_00662	361	290
MAA_00663	71	233
MAA_00664	23	20
MAA_00665	348	145
MAA_00666	153	651
MAA_00667	136	73
MAA_00668	136	257
MAA_00669	3053	2831
MAA_00670	132	268
MAA_00671	161	293
MAA_00672	202	207
MAA_00673	6	75
MAA_00674	229	692
MAA_00675	25	34
MAA_00676	554	2817
MAA_00677	588	623
MAA_00678	89	597
MAA_00679	6	34
MAA_00680	0	0
MAA_00681	83	114
MAA_00682	2384	1337
MAA_00683	531	355
MAA_00684	13	37
MAA_00685	1	14
MAA_00686	263	337
MAA_00687	213	1036
MAA_00688	0	0
MAA_00689	684	474
MAA_00691	477	353
MAA_00692	8	6
MAA_00693	1460	973
MAA_00694	514	1025
MAA_00695	15	49
MAA_00696	376	681
MAA_00697	1651	1885
MAA_00698	318	382
MAA_00699	0	1
MAA_00700	155	523
MAA_00701	285	253
MAA_00702	1135	794
MAA_00703	243	220
MAA_00704	11	9
MAA_00705	533	392
MAA_00706	550	483
MAA_00707	15	54
MAA_00708	190	362
MAA_00709	647	504
MAA_00710	153	209
MAA_00711	763	1468
MAA_00712	500	468
MAA_00713	636	532
MAA_00714	277	295
MAA_00715	3134	2068
MAA_00716	55	30
MAA_00717	4643	3227
MAA_00718	4	15
MAA_00719	22	29
MAA_00720	173	197
MAA_00721	596	3366
MAA_00722	74	66
MAA_00723	57	72
MAA_00724	156	448
MAA_00725	38	60
MAA_00726	253	267
MAA_00727	989	917
MAA_00728	992	784
MAA_00729	105	36
MAA_00730	22	22
MAA_00731	58	197
MAA_00732	898	663
MAA_00733	39	34
MAA_00734	550	718
MAA_00735	3	54
MAA_00736	1974	1252
MAA_00737	1100	2394
MAA_00738	1345	937
MAA_00739	54	307
MAA_00740	774	782
MAA_00741	449	527
MAA_00742	626	930
MAA_00743	124	450
MAA_00744	1612	1424
MAA_00745	6	139
MAA_00746	121	282
MAA_00747	3129	1085
MAA_00748	5	19
MAA_00749	7	8
MAA_00750	70	251
MAA_00751	9	53
MAA_00752	89	160
MAA_00753	597	566
MAA_00754	497	425
MAA_00755	244	256
MAA_00756	112	148
MAA_00757	182	109
MAA_00758	69	49
MAA_00759	949	426
MAA_00760	467	620
MAA_00761	336	536
MAA_00762	142	469
MAA_00763	419	344
MAA_00764	91	142
MAA_00765	906	142
MAA_00766	767	414
MAA_00767	2959	916
MAA_00768	138	130
MAA_00769	170	179
MAA_00770	176	295
MAA_00771	244	388
MAA_00772	121	340
MAA_00773	2	23
MAA_00774	118	165
MAA_00775	0	3
MAA_00776	1061	776
MAA_00777	0	0
MAA_00778	65	188
MAA_00779	65	23
MAA_00780	86	209
MAA_00781	33	53
MAA_00782	12	27
MAA_00783	29	53
MAA_00784	110	1191
MAA_00785	49	136
MAA_00786	23	69
MAA_00787	934	1144
MAA_00788	88	96
MAA_00789	17	7
MAA_00790	51	4
MAA_00791	16	37
MAA_00792	12	43
MAA_00793	67	56
MAA_00794	589	658
MAA_00795	495	532
MAA_00796	210	610
MAA_00797	18	60
MAA_00798	317	436
MAA_00799	362	325
MAA_00800	13	18
MAA_00801	10	5
MAA_00802	360	781
MAA_00803	30	73
MAA_00804	3	8
MAA_00805	15	39
MAA_00806	255	147
MAA_00807	556	442
MAA_00808	86	258
MAA_00809	178	930
MAA_00810	897	1441
MAA_00811	1	10
MAA_00812	190	366
MAA_00813	227	231
MAA_00814	26	99
MAA_00815	64	108
MAA_00816	539	1532
MAA_00817	189	280
MAA_00818	3	0
MAA_00819	128	160
MAA_00820	69	70
MAA_00821	10	104
MAA_00822	298	380
MAA_00823	365	533
MAA_00824	936	741
MAA_00825	1249	459
MAA_00826	2771	726
MAA_00827	11	54
MAA_00828	39	129
MAA_00829	6	63
MAA_00830	378	450
MAA_00831	717	993
MAA_00832	486	956
MAA_00833	119	42
MAA_00834	7	33
MAA_00835	1	12
MAA_00836	857	856
MAA_00837	34	126
MAA_00838	1237	2295
MAA_00839	645	144
MAA_00840	189	181
MAA_00841	237	953
MAA_00842	186	296
MAA_00843	23	88
MAA_00844	650	721
MAA_00845	9	84
MAA_00846	134	796
MAA_00847	15	525
MAA_00848	41	173
MAA_00849	35	142
MAA_00850	9	26
MAA_00851	23	24
MAA_00852	1	17
MAA_00853	86	580
MAA_00854	45	161
MAA_00855	4567	1158
MAA_00856	2405	1115
MAA_00857	76	1284
MAA_00858	22	119
MAA_00859	26	20
MAA_00860	5	3
MAA_00861	1	7
MAA_00862	1	4
MAA_00863	450	142
MAA_00864	34	100
MAA_00865	0	0
MAA_00866	0	0
MAA_00867	0	4
MAA_00868	45	77
MAA_00870	0	0
MAA_00871	1	0
MAA_00872	0	0
MAA_00873	0	0
MAA_00874	0	0
MAA_00875	0	0
MAA_00876	0	0
MAA_00877	0	0
MAA_00878	0	0
MAA_00879	0	29
MAA_00880	0	2
MAA_00881	0	0
MAA_00882	0	0
MAA_00883	0	0
MAA_00884	17	113
MAA_00885	106	165
MAA_00886	0	0
MAA_00887	1	0
MAA_00888	45	32
MAA_00889	129	31
MAA_00890	134	227
MAA_00891	46	8
MAA_00892	7	2
MAA_00893	0	0
MAA_00894	0	0
MAA_00896	0	0
MAA_00897	0	0
MAA_00898	1	3
MAA_00899	0	0
MAA_00900	73	42
MAA_00901	158	184
MAA_00902	118	117
MAA_00903	29	140
MAA_00905	202	184
MAA_00906	530	97
MAA_00907	275	671
MAA_00908	638	5777
MAA_00909	7	0
MAA_00910	2	9
MAA_00911	0	1
MAA_00912	0	6
MAA_00913	31	48
MAA_00914	0	1
MAA_00915	0	0
MAA_00916	5	44
MAA_00917	0	0
MAA_00918	0	0
MAA_00919	15	37
MAA_00920	0	0
MAA_00921	0	0
MAA_00922	1	0
MAA_00923	6	5
MAA_00924	88	83
MAA_00925	55	82
MAA_00926	0	0
MAA_00927	1299	956
MAA_00928	55	276
MAA_00929	18	57
MAA_00930	1	0
MAA_00931	4	3
MAA_00932	0	0
MAA_00933	0	0
MAA_00934	0	0
MAA_00935	0	0
MAA_00936	20	56
MAA_00937	401	326
MAA_00938	0	0
MAA_00939	0	0
MAA_00940	4	23
MAA_00941	0	0
MAA_00942	0	0
MAA_00943	9	27
MAA_00944	57	14
MAA_00945	0	1
MAA_00946	1	1
MAA_00947	23	32
MAA_00948	0	0
MAA_00949	0	0
MAA_00950	9	38
MAA_00951	2	12
MAA_00952	0	0
MAA_00953	2	0
MAA_00954	0	0
MAA_00955	0	0
MAA_00956	0	0
MAA_00957	0	0
MAA_00958	7	11
MAA_00959	0	8
MAA_00960	0	0
MAA_00961	0	0
MAA_00962	2	0
MAA_00963	2	0
MAA_00964	1	0
MAA_00965	0	0
MAA_00966	0	0
MAA_00967	0	24
MAA_00968	1	41
MAA_00969	0	12
MAA_00970	0	1
MAA_00971	0	0
MAA_00972	0	0
MAA_00973	0	1
MAA_00974	35	438
MAA_00975	7	185
MAA_00976	132	109
MAA_00977	211	1120
MAA_00978	603	1100
MAA_00979	1773	2859
MAA_00980	0	0
MAA_00981	0	0
MAA_00982	23	83
MAA_00983	1	5
MAA_00984	170	81
MAA_00985	143	152
MAA_00986	0	0
MAA_00987	10	8
MAA_00988	0	0
MAA_00989	0	0
MAA_00990	0	0
MAA_00991	0	2
MAA_00992	37	55
MAA_00993	19	83
MAA_00994	2	0
MAA_00995	502	2
MAA_00996	385	6
MAA_00997	0	3
MAA_00998	76	34
MAA_00999	344	233
MAA_01000	498	218
MAA_01001	21	20
MAA_01002	58	25
MAA_01003	130	147
MAA_01004	784	666
MAA_01005	479	364
MAA_01006	486	217
MAA_01007	0	0
MAA_01008	0	0
MAA_01009	0	0
MAA_01010	0	0
MAA_01011	0	0
MAA_01012	0	0
MAA_01013	0	0
MAA_01014	0	0
MAA_01015	27	18
MAA_01016	51	66
MAA_01017	0	2
MAA_01018	52	31
MAA_01019	935	1304
MAA_01020	178	95
MAA_01021	214	318
MAA_01022	598	1528
MAA_01023	447	1188
MAA_01024	90	19
