organism,de_gene,log_fc,log_cpm,f,p_value,fdr,id
5530,MAN+AF8-09389,10.3969528845208,9.61011235806355,479.807593270866,1.33729018357842e+AC0-96,1.5154469535907e+AC0-93,
5530,MAN+AF8-09394,10.3321457398201,9.0601439287849,440.732157787623,3.63859133347861e+AC0-97,4.63874912626854e+AC0-94,
5530,MAN+AF8-09531,9.87543954703356,8.46649039505783,363.446961404769,4.17900705628645e+AC0-62,1.29156645354744e+AC0-59,
5530,MAN+AF8-01628,9.6635508237101,8.86861485399625,379.296869686921,1.90232094205011e+AC0-57,4.21777636694981e+AC0-55,
5530,MAN+AF8-09392,9.62233889596819,8.71380142595463,365.568230087404,8.38888539938175e+AC0-56,1.71116484376589e+AC0-53,
5530,MAN+AF8-08869,9.257141438097,7.14483280103312,217.462856174647,2.65055953517563e+AC0-47,3.80747277454313e+AC0-45,
5530,MAN+AF8-09398,9.16413191477161,7.50062729751642,242.614378266722,6.50149333646352e+AC0-43,8.50111929981941e+AC0-41,
5530,MAN+AF8-10379,9.0307281009228,8.32503665041629,299.153330408251,2.4065300384041e+AC0-39,2.58359998544036e+AC0-37,
5530,MAN+AF8-06508,8.73445223167868,8.55941815105952,389.426088318341,3.79471313855099e+AC0-86,2.27660466471068e+AC0-83,
5530,MAN+AF8-02411,8.57877267176686,6.18019963406173,122.029288076155,2.57310920745181e+AC0-28,1.60019151260982e+AC0-26,
5530,MAN+AF8-03805,8.37956831728978,6.06297843182151,109.591799188157,4.77723898054633e+AC0-25,2.4361530181296e+AC0-23,
5530,MAN+AF8-01672,8.34974572808586,6.55765535284658,139.438256055383,9.00934604664911e+AC0-25,4.54882773909773e+AC0-23,
5530,MAN+AF8-08939,8.26183458050837,7.91875625910505,305.125382742478,5.38885383664569e+AC0-68,2.03558963999812e+AC0-65,
5530,MAN+AF8-09381,8.24202052540724,7.42800099294656,193.232268942676,2.72751064032907e+AC0-22,1.19904659572052e+AC0-20,
5530,MAN+AF8-03713,8.19234015500542,6.09720176917237,106.859315582035,1.69917948412724e+AC0-24,8.37194761285687e+AC0-23,
5530,MAN+AF8-02285,8.01757037305849,6.29953507361988,113.438617756902,2.55773943679008e+AC0-17,8.49719365336221e+AC0-16,
5530,MAN+AF8-09390,7.96888547604707,12.8082552457306,461.536620384588,1.25636867187734e+AC0-101,2.13561734741283e+AC0-98,
5530,MAN+AF8-09396,7.94619920432809,5.95804301896828,93.1361432396595,1.05948090023784e+AC0-18,3.8317892558602e+AC0-17,
5530,MAN+AF8-09380,7.87611436097045,9.72130964788318,397.857391889399,5.84831863894567e+AC0-88,3.9764667865738e+AC0-85,
5530,MAN+AF8-06647,7.80368549721778,5.70126478603056,77.4707985184903,2.55773942912708e+AC0-17,8.49719365336221e+AC0-16,
5530,MAN+AF8-02969,7.6605946830891,5.62057923206194,71.0427753640301,1.17300438040587e+AC0-15,3.40839648882036e+AC0-14,
5530,MAN+AF8-09272,7.5057528730797,5.69403834692593,71.1390259535514,1.94593284620184e+AC0-13,4.74798303789775e+AC0-12,
5530,MAN+AF8-06942,7.4537184371662,9.11258381325277,362.338224124749,2.54234118854718e+AC0-80,1.23473037057108e+AC0-77,
5530,MAN+AF8-09393,7.39672445910813,6.30786031416672,96.8238040881393,1.50824611087795e+AC0-14,4.0268591845142e+AC0-13,
5530,MAN+AF8-10697,7.32216778998318,5.22729762190544,50.1685054131474,2.52085036047917e+AC0-12,5.6381914093261e+AC0-11,
5530,MAN+AF8-09384,7.30089334017637,10.4773680991451,421.439364229617,5.03090139490879e+AC0-93,5.13101633266748e+AC0-90,
5530,MAN+AF8-01856,7.27655545196811,5.4073542666743,55.7972685197474,4.7859504281134e+AC0-12,1.0429894960754e+AC0-10,
5530,MAN+AF8-07026,7.25426367784707,5.95945147199851,77.3094725047803,6.99997389782676e+AC0-13,1.63744802256732e+AC0-11,
5530,MAN+AF8-09388,7.19304247265057,8.55836255561292,287.42484677509,2.14976315106916e+AC0-53,3.98644261413716e+AC0-51,
5530,MAN+AF8-01067,7.13859967981235,9.8017099827964,390.414013819369,2.3270870960798e+AC0-86,1.48337258080737e+AC0-83,
5530,MAN+AF8-05295,7.13643090432154,4.91682263603005,38.0772583936286,6.8850071008487e+AC0-10,1.17033645702593e+AC0-08,
5530,MAN+AF8-01176,7.12637854112496,9.46411994109731,367.607873948335,1.86788929944449e+AC0-81,9.52530148251718e+AC0-79,
5530,MAN+AF8-02190,7.00144262264435,7.93699287771896,235.510193841491,4.81438587502161e+AC0-49,7.43968508171899e+AC0-47,
5530,MAN+AF8-09395,6.8485895422581,8.02410155202589,232.637595318377,2.51533212759628e+AC0-46,3.51422909169239e+AC0-44,
5530,MAN+AF8-06981,6.80825693700703,5.80930613848139,61.9918979809581,8.18583481816078e+AC0-10,1.38224055149705e+AC0-08,
5530,MAN+AF8-08210,6.80758038028849,11.4538602883151,406.205765984255,9.40344033969768e+AC0-90,6.85040628746976e+AC0-87,
5530,MAN+AF8-07135,6.80702119115552,5.26801362797562,44.229806971061,4.29814019981803e+AC0-10,7.53208451854709e+AC0-09,
5530,MAN+AF8-01922,6.79132570651127,6.86938660823273,154.107682653681,2.6685526406216e+AC0-35,2.23086626079505e+AC0-33,
5530,MAN+AF8-05655,6.77160253290474,5.14508608764183,39.9939005731927,3.9532134539041e+AC0-08,5.36154574685743e+AC0-07,
5530,MAN+AF8-00614,6.75216996784345,8.15423792642363,264.91239951127,2.5896289750931e+AC0-59,7.13827727485798e+AC0-57,
5530,MAN+AF8-01711,6.71605313419531,6.95522014738064,156.580996189885,7.73604159062586e+AC0-36,6.86085984198201e+AC0-34,
5530,MAN+AF8-10310,6.65527423692038,4.75994290757736,29.1224041483078,6.84509828248343e+AC0-08,9.01978777558766e+AC0-07,
5530,MAN+AF8-03132,6.60812917419378,5.08320062507321,36.3474081728936,7.56213683968524e+AC0-08,9.92615619407333e+AC0-07,
5530,MAN+AF8-04753,6.60663942033344,4.49098907982505,23.1707233740249,1.48943873643445e+AC0-06,1.55008017070356e+AC0-05,
5530,MAN+AF8-04556,6.58336083640015,6.04890190680437,65.6696835972277,7.56213683682538e+AC0-08,9.92615619407333e+AC0-07,
5530,MAN+AF8-06854,6.5332233319741,4.60828407545635,24.7259705208165,6.64448262645007e+AC0-07,7.47156320916916e+AC0-06,
5530,MAN+AF8-05305,6.53309099725449,4.84006386398881,29.6433217000235,2.77434600519975e+AC0-07,3.31329682752134e+AC0-06,
5530,MAN+AF8-00920,6.53270244802779,4.38750432722427,20.7183180674407,5.34091939961882e+AC0-06,5.02973563773891e+AC0-05,
5530,MAN+AF8-00077,6.50459998433915,8.08891211364297,236.610502912592,3.41272385109834e+AC0-53,6.21542331381285e+AC0-51,
5530,MAN+AF8-03830,6.48968214501602,10.3550490720173,351.81478671682,4.68057813543498e+AC0-78,2.07553114796962e+AC0-75,
5530,MAN+AF8-09343,6.48125500450373,4.25095390515225,18.1570394375463,2.04023934438278e+AC0-05,0.000170981109887921,
5530,MAN+AF8-04121,6.45414870557587,4.53211238161969,22.7209107739435,1.88178423566027e+AC0-06,1.92887612256272e+AC0-05,
5530,MAN+AF8-06382,6.453825374485,4.17580463408381,16.7668488733911,4.23738168512042e+AC0-05,0.000326659529905844,
5530,MAN+AF8-01630,6.37204320739491,5.4618212560787,43.3880646647548,1.4477845410314e+AC0-07,1.81399932849868e+AC0-06,
5530,MAN+AF8-03133,6.30864021537788,7.88273705124091,221.556362366924,6.19184148681047e+AC0-50,1.01855792458032e+AC0-47,
5530,MAN+AF8-06616,6.28189324574678,5.29644686033543,37.6264456137153,1.02192167142573e+AC0-06,1.09711359230221e+AC0-05,
5530,MAN+AF8-05302,6.24441925931282,8.45892888841056,258.833958032505,5.33228421782162e+AC0-58,1.32643821311129e+AC0-55,
5530,MAN+AF8-01859,6.21925348492829,4.94814620661779,28.8219030581281,1.9647541471066e+AC0-06,2.00385275463402e+AC0-05,
5530,MAN+AF8-06864,6.20327044585577,7.13900355467313,147.017863539053,3.70108306658214e+AC0-25,1.91610894396301e+AC0-23,
5530,MAN+AF8-06293,6.15356448869037,4.54310372368857,20.5652108529277,5.78525214705256e+AC0-06,5.41816222661057e+AC0-05,
5530,MAN+AF8-05215,6.15356448869037,4.2784607782982,16.4712945366139,4.95148860926574e+AC0-05,0.000373522428446015,
5530,MAN+AF8-08846,6.13941933987818,6.69911159060586,120.30716098409,2.90650951367188e+AC0-23,1.35979314357521e+AC0-21,
